"id","x","y","roomId"
463,1348.0,307.252275,128
464,1348.0,30.33953,128
465,1111.0,30.33953,128
466,802.0,30.33953,129
467,802.0,307.252275,129
468,1111.0,307.252275,129
469,1111.0,30.33953,129
470,802.0,30.33953,129
471,625.0,148.152283,130
472,625.0,230.126453,130
473,802.0,230.126453,130
474,802.0,148.152283,130
475,625.0,148.152283,130
476,550.0,147.128973,131
477,550.0,230.102828,131
478,625.5,230.102828,131
479,625.5,147.128973,131
480,550.0,147.128973,131
481,472.5,146.62913,132
482,472.5,229.602985,132
483,550.5,229.602985,132
484,550.5,146.62913,132
485,472.5,146.62913,132
486,369.5,146.62913,133
487,369.5,230.102828,133
488,472.5,230.102828,133
489,472.5,146.62913,133
490,369.5,146.62913,133
491,464.0,28.638423,134
492,464.0,114.611333,134
493,580.5,114.611333,134
494,580.5,28.638423,134
495,464.0,28.638423,134
496,624.5,95.617318,135
497,625.0,30.13795,135
498,802.0,30.637793,135
499,802.0,148.10078,135
500,746.0,148.600623,135
501,746.0,95.617318,135
502,624.5,95.617318,135
503,669.0,95.617318,136
504,669.0,147.101095,136
505,746.0,147.101095,136
506,746.0,95.617318,136
507,669.0,95.617318,136
508,581.5,28.638423,137
509,581.5,95.117475,137
510,624.5,95.117475,137
511,624.5,28.638423,137
512,581.5,28.638423,137
513,1112.5,385.288815,138
514,1112.5,701.597158,138
515,1351.0,701.597158,138
516,1351.0,385.288815,138
517,1112.5,385.288815,138
518,1353.0,385.288815,139
519,1353.0,702.188961,139
520,1587.0,702.188961,139
521,1587.0,385.288815,139
522,1353.0,385.288815,139
696,844.0,147.19591,163
697,806.5,30.232765,164
698,806.5,147.19591,164
699,948.5,147.19591,164
700,948.5,30.232765,164
701,806.5,30.232765,164
702,630.0,144.696698,165
703,630.0,226.171025,165
704,805.5,226.171025,165
705,805.5,144.696698,165
706,630.0,144.696698,165
707,552.5,144.696698,166
708,552.5,225.671183,166
709,630.0,225.671183,166
710,630.0,144.696698,166
556,1018.0,306.227076,143
557,1018.0,386.201876,143
558,1586.0,386.201876,143
559,1586.0,306.227076,143
560,1018.0,306.227076,143
561,1017.0,702.206601,144
562,1018.0,306.33134,144
563,801.0,307.331025,144
564,801.0,230.158425,144
565,635.0,230.142203,144
566,635.0,702.267431,144
567,783.0,700.629558,144
568,783.0,386.141888,144
569,966.0,385.646298,144
570,966.0,702.09826,144
571,1017.0,702.206601,144
572,668.0,96.654803,145
573,581.5,96.15496,145
574,581.0,115.648818,145
575,463.5,115.648818,145
576,463.0,27.676538,145
577,317.0,28.17638,145
578,317.5,703.120468,145
579,634.0,702.620625,145
580,634.5,581.158898,145
581,394.0,581.158898,145
582,396.126219,305.190993,145
583,634.200576,304.19093,145
584,634.200576,230.186275,145
585,370.118096,230.186275,145
586,371.119033,147.186967,145
587,669.212136,147.186967,145
588,668.0,96.654803,145
594,480.5,589.031323,147
595,641.0,588.031638,147
596,638.5,227.145353,147
597,371.0,225.145983,147
598,371.0,143.671655,147
599,669.0,143.171813,147
600,669.0,90.68835,147
601,583.5,90.68835,147
602,583.0,112.68142,147
603,465.5,112.68142,147
604,465.5,30.70725,147
605,307.5,30.207408,147
606,309.0,381.596685,147
607,480.5,379.597315,147
608,480.5,589.031323,147
609,638.0,227.137793,148
610,806.0,226.138108,148
611,807.0,148.124405,148
612,842.5,148.124405,148
613,842.5,306.074635,148
614,943.0,306.601253,148
615,943.0,380.0781,148
616,781.0,380.0781,148
617,781.5,742.628658,148
618,713.0,743.1285,148
619,713.0,385.741112,148
620,639.5,385.226307,148
621,638.0,227.137793,148
622,945.0,307.260465,149
623,945.0,380.237471,149
624,1588.0,380.237471,149
625,1588.0,307.260465,149
626,945.0,307.260465,149
627,31.0,29.327875,150
628,31.0,382.216681,150
629,309.0,382.216681,150
630,309.0,29.327875,150
631,31.0,29.327875,150
632,82.0,381.214476,151
633,82.0,699.114306,151
634,480.0,699.114306,151
635,480.0,381.214476,151
636,82.0,381.214476,151
637,781.5,620.600623,152
638,781.5,742.06235,152
639,873.5,742.06235,152
640,873.5,620.600623,152
641,781.5,620.600623,152
642,781.5,543.125035,153
643,781.5,620.600623,153
644,873.5,620.600623,153
645,873.5,543.125035,153
646,781.5,543.125035,153
647,781.5,464.14992,154
648,781.5,543.125035,154
649,873.5,543.125035,154
650,873.5,464.14992,154
651,781.5,464.14992,154
652,781.0,380.17638,155
653,781.0,463.150235,155
654,873.0,463.150235,155
655,873.0,380.17638,155
656,781.0,380.17638,155
657,874.0,380.336065,156
658,874.0,742.222036,156
659,1112.0,742.222036,156
660,1112.0,380.336065,156
661,874.0,380.336065,156
662,1112.0,381.301415,157
663,1112.0,743.187386,157
664,1349.0,743.187386,157
665,1349.0,381.301415,157
666,1112.0,381.301415,157
667,1349.0,379.302045,158
668,1349.0,743.187386,158
669,1586.0,743.187386,158
670,1586.0,379.302045,158
671,1349.0,379.302045,158
672,1353.0,30.41198,159
673,1353.0,306.32504,159
674,1589.0,306.32504,159
675,1589.0,30.41198,159
676,1353.0,30.41198,159
677,1116.0,31.411665,160
678,1116.0,306.32504,160
679,1352.0,306.32504,160
680,1352.0,31.411665,160
681,1116.0,31.411665,160
682,948.0,30.411035,161
683,948.0,306.324095,161
684,1116.0,306.324095,161
685,1116.0,30.411035,161
686,948.0,30.411035,161
687,843.0,223.17197,162
688,843.0,306.145825,162
689,948.0,306.145825,162
690,948.0,223.17197,162
691,843.0,223.17197,162
692,844.0,147.19591,163
693,844.0,223.671813,163
694,948.0,223.671813,163
695,948.0,147.19591,163
711,552.5,144.696698,166
712,475.5,145.19654,167
713,475.5,225.671183,167
714,553.0,225.671183,167
715,553.0,145.19654,167
716,475.5,145.19654,167
717,372.0,144.696698,168
718,372.0,225.17134,168
719,475.5,225.17134,168
720,475.5,144.696698,168
721,372.0,144.696698,168
722,466.5,30.23245,169
723,466.5,112.706463,169
724,583.0,112.706463,169
725,583.0,30.23245,169
726,466.5,30.23245,169
727,669.5,90.21355,170
728,669.5,144.696383,170
729,749.0,144.696383,170
730,749.0,90.21355,170
731,669.5,90.21355,170
732,583.5,30.23245,171
